,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
chinese_name,-0.5452733133241684,0.3889961205367791,-0.15618662733616992,0.8113419070722965,-0.992031344095838,-0.10390537489029503,0.13191261117978284,-0.8200900377380282,0.9669468303496858,0.12973487623253788,0.7684958550938098,0.625505981135491,-0.4606211706729792,-0.9063447554406725,-0.06748930153689683,-0.5589278349268714,0.4533305374333252,-0.07510045576831562,0.4522184876632636,-0.6083370849025417,0.16713833579049328,0.8075732488123539,0.08902787669071507,-0.2183872911852576,-0.07911640829371898,0.8975692020584383,-0.7050379077622915,-0.6042692620854472,-0.5091737456839843,0.8960894223452097,-0.2242773509254579,0.2946100481804575
contains,0.18679422798208337,0.6358561313622672,1.012945765614836,0.6633792448384664,-0.44768046661707156,-0.32703665725767267,-0.4861451279525044,0.0723269881666783,-0.714639166895015,-0.9869078702121054,-1.0776525473490242,-0.3244325948906278,0.23113216497699612,-0.04209305980774247,0.6479113798108532,0.8853757028191303,-1.0813587185246971,0.6119769108133731,0.44027293582484633,0.23864731225151428,-0.9642109470907774,-0.6375439304244537,-0.5049826378875406,0.3369393844183771,0.4832622962166161,0.6944840576389046,-0.988156121329422,-0.69723410597617,-0.714058768715936,-0.5505478119954561,0.6876265727989033,0.6450889374703785
type,-0.07119167218167173,-0.9473282629306565,0.42360309222728015,0.6095789619114698,0.23156165253618693,0.003078574908720485,-0.63829308949537,-0.23788854875779053,0.49745862118998513,1.0245007609226173,-0.2361759094828136,-0.3680156990477796,0.7703119297580625,1.030385787321602,-0.40447233314596526,-0.5750269196035821,0.3344217708132512,0.34144540401492557,-0.4174874290415867,-1.008584575164474,-0.9832310649394375,-0.9256783928069482,-0.6917260833401934,0.37206186640285493,0.42867847251553615,0.4379891398279141,-0.5386893492953571,-0.11803688349580889,-0.3988849298089824,-1.077178459473867,-0.0727163918251206,-0.10438134113060357
used_in,0.5142291423183265,0.5113887698147894,-0.9498901506518885,-0.6580498599428036,0.5405002183623953,-0.1528272913832403,-1.031029079514827,0.0013843643077358133,-0.886252241307111,-0.4815590125988652,0.4957854394156145,0.563478886391294,-0.6889241758610422,-0.4646296478820852,0.5413865025074738,-0.8818346227433629,-0.33680924416848407,0.2391978121061403,-0.14085346205487823,-0.025249660725177425,-0.4245953798539673,0.008592084334681263,0.44817439071575077,0.49405513503043336,0.8042636912330922,-0.75474994410101,0.14807248363400313,-1.0403878248895952,-0.40740487221383653,-0.4925892690896846,-1.0467082266375511,1.0300664944485312
